number,state,values,params,params,params,params,params,params,params,duration,datetime_start,datetime_complete
,,0,K,batch_size,drop_rate,gcn_out_size,linear_size,lr,weight_decay,,,
0,COMPLETE,0.3638066079737626,3,256,0.3402287031722967,16,512,0.001967946111860124,0.00010081066279464085,0 days 00:04:26.581403,2025-06-01 12:39:49.022764,2025-06-01 12:44:15.604167
1,COMPLETE,0.3416191372550396,2,128,0.3461816046228022,64,256,0.029157288570856463,1.4560797383543256e-06,0 days 00:02:17.449398,2025-06-01 12:44:15.604662,2025-06-01 12:46:33.054060
2,COMPLETE,0.39823784816982544,2,256,0.2982241664262132,32,1024,0.0008406847358025366,0.00014788166175287273,0 days 00:01:47.250910,2025-06-01 12:46:33.054546,2025-06-01 12:48:20.305456
3,COMPLETE,0.3787485022514864,1,128,0.32630009506043356,32,1024,0.0025989586044741922,2.850399465126274e-05,0 days 00:01:48.919307,2025-06-01 12:48:20.305959,2025-06-01 12:50:09.225266
4,COMPLETE,0.40148447894135464,3,256,0.32124311812340534,128,1024,0.0017507733771461537,2.9394943630572888e-05,0 days 00:01:14.459341,2025-06-01 12:50:09.225772,2025-06-01 12:51:23.685113
5,COMPLETE,0.3449671549231065,4,256,0.11926946194186508,128,1024,0.002159486893773882,3.329034611789871e-05,0 days 00:01:08.187838,2025-06-01 12:51:23.685546,2025-06-01 12:52:31.873384
6,COMPLETE,0.3342789150973652,2,256,0.33365568526004097,64,512,0.000991988739524662,2.6854250447885097e-06,0 days 00:00:59.782869,2025-06-01 12:52:31.873867,2025-06-01 12:53:31.656736
7,COMPLETE,0.37098892322716087,3,128,0.11943801644734464,16,512,0.00024403776209702314,4.051230288745219e-06,0 days 00:02:54.400189,2025-06-01 12:53:31.657162,2025-06-01 12:56:26.057351
8,COMPLETE,0.3467544861128314,3,256,0.3395981587683643,128,512,0.0007610311596907531,0.0001713097069242962,0 days 00:01:27.328674,2025-06-01 12:56:26.057814,2025-06-01 12:57:53.386488
9,COMPLETE,0.3267118484463498,1,128,0.19910082656153208,16,512,0.00018031296847229,2.5022742721263434e-06,0 days 00:01:45.569292,2025-06-01 12:57:53.386899,2025-06-01 12:59:38.956191
10,COMPLETE,0.3759877417438498,4,256,0.23738778299394486,128,256,0.010134833029552304,1.4421194203731099e-05,0 days 00:01:00.727177,2025-06-01 12:59:38.956778,2025-06-01 13:00:39.683955
11,COMPLETE,0.2990582544036777,2,256,0.27800913629811563,32,1024,0.0067044862936242134,0.0008732468054576395,0 days 00:01:00.642277,2025-06-01 13:00:39.684468,2025-06-01 13:01:40.326745
12,COMPLETE,0.34322582025716863,3,256,0.39631859344086207,32,1024,0.0005643790376692741,0.0002609075599326763,0 days 00:01:24.856378,2025-06-01 13:01:40.327337,2025-06-01 13:03:05.183715
