number,state,values,params,params,params,params,params,duration,datetime_start,datetime_complete
,,0,batch_size,hc_drop_rate,hc_linear_size,lr,weight_decay,,,
0,COMPLETE,0.3561084586920453,256,0.25642292526272426,512,0.002829591929679853,2.0332210561708133e-05,0 days 00:00:29.707146,2025-06-03 12:50:37.551788,2025-06-03 12:51:07.258934
1,COMPLETE,0.3328240265387126,256,0.35001515874087075,512,0.0033269906100961625,3.182495991355399e-06,0 days 00:00:15.707456,2025-06-03 12:51:07.259327,2025-06-03 12:51:22.966783
2,COMPLETE,0.2517207925764076,128,0.195303504007001,512,0.004824749196457196,0.00014972178692156248,0 days 00:00:16.866815,2025-06-03 12:51:22.969031,2025-06-03 12:51:39.835846
3,COMPLETE,0.2917068366064438,256,0.11124752085482388,256,0.0002909348839684462,6.075181811615214e-06,0 days 00:00:13.142531,2025-06-03 12:51:39.836159,2025-06-03 12:51:52.978690
4,COMPLETE,0.16234679525818768,256,0.2350821543062959,1024,0.00014770737037249302,5.065605453091364e-06,0 days 00:00:14.894069,2025-06-03 12:51:52.979042,2025-06-03 12:52:07.873111
5,COMPLETE,0.2991873111771176,128,0.2996219575367045,1024,0.0006742476108307153,1.2249977512309748e-06,0 days 00:00:13.206011,2025-06-03 12:52:07.875368,2025-06-03 12:52:21.081379
6,COMPLETE,0.21741211763710142,128,0.3240186522580413,512,0.00709941803293439,0.00027203535992916504,0 days 00:00:16.976334,2025-06-03 12:52:21.081744,2025-06-03 12:52:38.058078
7,COMPLETE,0.1900034793625947,256,0.2527000010082864,512,0.00018081305798203719,5.8567792725018254e-05,0 days 00:00:15.829409,2025-06-03 12:52:38.058445,2025-06-03 12:52:53.887854
8,COMPLETE,0.33619234895920586,256,0.37707232572391025,256,0.0016889554139483778,4.09964353141175e-05,0 days 00:00:13.944079,2025-06-03 12:52:53.890226,2025-06-03 12:53:07.834305
9,COMPLETE,0.2622694667703742,128,0.3851457308314872,1024,0.0004169519231204075,7.432154409166121e-06,0 days 00:00:08.630303,2025-06-03 12:53:07.836649,2025-06-03 12:53:16.466952
10,COMPLETE,0.4043134313831988,256,0.1360323026782416,512,0.0016898579982266685,0.0005931173538055033,0 days 00:00:15.957130,2025-06-03 12:53:16.467271,2025-06-03 12:53:32.424401
11,COMPLETE,0.36078183869891295,256,0.1376380648261842,512,0.0018067923276172849,0.0007661226839222838,0 days 00:00:15.881381,2025-06-03 12:53:32.424786,2025-06-03 12:53:48.306167
12,COMPLETE,0.3444675526734505,256,0.10317278094354201,512,0.001389039893651106,0.0008064989804857291,0 days 00:00:16.068142,2025-06-03 12:53:48.306489,2025-06-03 12:54:04.374631
13,COMPLETE,0.3947728219492926,256,0.1606654881014234,512,0.0009901909350534391,0.0009821412909455736,0 days 00:00:16.319029,2025-06-03 12:54:04.377559,2025-06-03 12:54:20.696588
